feature_name,num_repos,num_still_present,num_retired,min_first_seen_date,max_first_seen_date,min_last_seen_date,max_last_seen_date,avg_lifetime_days,median_lifetime_days
dyn_star,1,1,0,2023-07-28T00:52:26+00:00,2023-07-28T00:52:26+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,827.00,827.00
dyn_trait,1,1,0,2018-03-05T08:35:58+00:00,2018-03-05T08:35:58+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,2798.00,2798.00
enumset,1,0,1,2016-05-03T15:26:43+00:00,2016-05-03T15:26:43+00:00,2016-05-10T00:23:41+00:00,2016-05-10T00:23:41+00:00,6.00,6.00
env,2,0,2,2015-02-07T13:01:48+00:00,2015-02-21T18:07:57+00:00,2015-03-11T01:47:00+00:00,2015-03-11T01:47:00+00:00,17.00,17.00
ergonomic_clones,1,1,0,2025-04-02T15:32:05+00:00,2025-04-02T15:32:05+00:00,2025-11-01T20:24:49+00:00,2025-11-01T20:24:49+00:00,213.00,213.00
error_generic_member_access,1,1,0,2022-09-06T01:32:49+00:00,2022-09-06T01:32:49+00:00,2025-11-02T05:22:06+00:00,2025-11-02T05:22:06+00:00,1153.00,1153.00
error_in_core,5,0,5,2022-12-13T09:07:53+00:00,2024-05-17T21:51:54+00:00,2023-04-25T21:06:10+00:00,2024-09-07T16:39:19+00:00,259.60,179.00
exact_size_is_empty,1,1,0,2023-01-18T21:05:34+00:00,2023-01-18T21:05:34+00:00,2025-11-19T02:17:02+00:00,2025-11-19T02:17:02+00:00,1035.00,1035.00
exclusive_range_pattern,3,1,2,2017-09-27T14:52:42+00:00,2019-07-30T05:32:38+00:00,2017-10-03T09:47:23+00:00,2025-11-01T20:24:49+00:00,1145.50,1145.50
exhaustive_integer_patterns,1,0,1,2018-09-02T12:27:19+00:00,2018-09-02T12:27:19+00:00,2019-04-19T22:10:24+00:00,2019-04-19T22:10:24+00:00,229.00,229.00
exhaustive_patterns,1,0,1,2021-12-13T15:48:38+00:00,2021-12-13T15:48:38+00:00,,,,
existential_type,1,0,1,2018-07-24T15:29:45+00:00,2018-07-24T15:29:45+00:00,,,,
exit_status,3,0,3,2015-03-07T22:46:35+00:00,2015-06-15T03:25:57+00:00,2015-06-19T11:27:40+00:00,2015-06-30T02:06:11+00:00,61.00,63.00
