key,owner,repo,crate_names,status,attempts,last_error,last_attempt_ts
kaj/rust-pdf,kaj,rust-pdf,pdf-canvas,success,1,,2025-11-20T00:53:00Z
kako-jun/diffx,kako-jun,diffx,diffx-core,pending,0,,
kakoc/birdy,kakoc,birdy,birdy,pending,0,,
kakserpom/manticore-openapi-rs,kakserpom,manticore-openapi-rs,manticore-openapi,pending,0,,
kallazz/MakeWiz,kallazz,MakeWiz,makewiz,success,1,,2025-11-20T00:48:05Z
kanarus/exp-cfg-test,kanarus,exp-cfg-test,exp-cfg-test,success,1,,2025-11-28T04:38:57Z
kanidm/webauthn-rs,kanidm,webauthn-rs,base64urlsafedata,success,1,,2025-11-28T04:40:51Z
kappa8719/seigi,kappa8719,seigi,seigi,pending,0,,
kardeiz/reset-router,kardeiz,reset-router,reset-recognizer,pending,0,,
karip/ausnd,karip,ausnd,ausnd,pending,0,,
karthikrathinavel/rustlibrary1,karthikrathinavel,rustlibrary1,rustLib,failed,1,git clone failed: Cloning into 'repos/karthikrathinavel/rustlibrary1'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/karthikrathinavel/rustlibrary1.git/',2025-11-28T04:40:10Z
katharostech/dynamite,katharostech,dynamite,dynamite_python,success,1,,2025-11-28T04:40:59Z
kawakamimoeki/makesense,kawakamimoeki,makesense,makesense,pending,0,,
kayabaNerve/serai,kayabaNerve,serai,bulletproofs-plus,success,1,,2025-11-20T00:52:15Z
kazcw/cn-stratum,kazcw,cn-stratum,cn-stratum,pending,0,,
kcl-lang/kcl,kcl-lang,kcl,rustc_span,pending,0,,
kcmw3e/vup,kcmw3e,vup,vup,success,1,,2025-11-28T04:38:50Z
kdy1997/rust-caniuse,kdy1997,rust-caniuse,caniuse,pending,0,,
keithduncan/bq24195,keithduncan,bq24195,bq24195,pending,0,,
keithduncan/embedded-mqtt,keithduncan,embedded-mqtt,embedded-mqtt,success,1,,2025-11-28T04:40:00Z
keithyin/gsda,keithyin,gsda,gsetl,pending,0,,
kenba/opencl-sys-rs,kenba,opencl-sys-rs,opencl-sys,success,1,,2025-11-28T04:40:50Z
kenkoooo/cargo-concat,kenkoooo,cargo-concat,cargo-concat,success,1,,2025-11-28T04:39:16Z
kennystrawnmusic/btrfs-no-std,kennystrawnmusic,btrfs-no-std,btrfs-no-std,pending,0,,
kevinheavey/solders,kevinheavey,solders,solders-transaction-status-enums,success,1,,2025-11-20T00:40:01Z
key262yek/rust_rts,key262yek,rust_rts,rust_rts,pending,0,,
khonsulabs/bonsaidb,khonsulabs,bonsaidb,bonsaidb-macros,pending,0,,
khonsulabs/pliantdb,khonsulabs,pliantdb,"pliantdb-macros,pliantdb-jobs",success,1,,2025-11-20T00:32:37Z
khonsulabs/rgx-lyon,khonsulabs,rgx-lyon,rgx-lyon,success,1,,2025-11-20T00:48:59Z
khulnasoft-lab/rstash,khulnasoft-lab,rstash,rstash,pending,0,,
kilork/openid-warp,kilork,openid-warp,openid-warp,pending,0,,
kinai-io/axor,kinai-io,axor,axor,success,1,,2025-11-20T00:45:31Z
kino-mc/rsmt2,kino-mc,rsmt2,rsmt2-zz,pending,0,,
kinyoklion/rester,kinyoklion,rester,rester,success,1,,2025-11-20T00:32:25Z
kixelated/moq-rs,kixelated,moq-rs,moq-async,success,1,,2025-11-20T00:49:06Z
klebs6/klebs-general,klebs6,klebs-general,"africa,asia",success,1,,2025-11-20T00:38:26Z
klebz/bitcoin-rs,klebz,bitcoin-rs,bitcoin-addr,success,1,,2025-11-20T00:49:23Z
klebz/surge-rs,klebz,surge-rs,surgefx-reverb,success,1,,2025-11-28T04:39:44Z
kmanc/wiretap,kmanc,wiretap,wiretap,pending,0,,
kneasle/ringing-monorepo,kneasle,ringing-monorepo,bellframe,pending,0,,
kochavalabs/mazzaroth-rs,kochavalabs,mazzaroth-rs,mazzaroth-rs-derive,success,1,,2025-11-20T00:34:42Z
komadori/bevy_mod_rounded_box,komadori,bevy_mod_rounded_box,bevy_mod_rounded_box,success,1,,2025-11-20T00:48:38Z
komi1230/kokua,komi1230,kokua,kokua-commands,pending,0,,
koraa/with_drop,koraa,with_drop,with_drop,pending,0,,
korken89/rp2040-monotonic,korken89,rp2040-monotonic,rp2040-monotonic,pending,0,,
kornelski/rust_urlencoding,kornelski,rust_urlencoding,urlencoding,success,1,,2025-11-28T04:37:39Z
korpling/graphANNIS,korpling,graphANNIS,graphannis-webservice,success,1,,2025-11-28T04:40:27Z
koute/schnellru,koute,schnellru,schnellru,success,1,,2025-11-28T04:40:18Z
kristof-mattei/twistlock,kristof-mattei,twistlock,twistlock,pending,0,,
krojew/springtime,krojew,springtime,springtime,pending,0,,
krossbar-platform/krossbar-log,krossbar-platform,krossbar-log,krossbar-log-common,pending,0,,
krtab/rc_bump,krtab,rc_bump,rc_bump,success,1,,2025-11-20T00:33:35Z
kruserr/hygg,kruserr,hygg,hygg-server,success,1,,2025-11-20T00:48:04Z
kruserr/pakka,kruserr,pakka,pakka-gui,success,1,,2025-11-20T00:52:50Z
kstrafe/TileNet,kstrafe,TileNet,tile_net,success,1,,2025-11-20T00:40:44Z
kstrohbeck/phc,kstrohbeck,phc,phc,pending,0,,
kube-rs/kube,kube-rs,kube,kube,success,1,,2025-11-28T04:38:22Z
kujirahand/klex,kujirahand,klex,klex,pending,0,,
kumudiaorong/xlog-rs,kumudiaorong,xlog-rs,xlog-rs,success,1,,2025-11-30T03:49:31Z
kurtbuilds/fastmurmur3,kurtbuilds,fastmurmur3,fastmurmur3,success,1,,2025-11-28T04:41:35Z
kurtbuilds/x12,kurtbuilds,x12,x12_alt,pending,0,,
kzhao0986/x2apic-rs,kzhao0986,x2apic-rs,x2apic,pending,0,,
la10736/rstest,la10736,rstest,rstest,success,1,,2025-11-28T04:38:32Z
labcycle/imbibe,labcycle,imbibe,imbibe-domain,pending,0,,
lablup/bssh,lablup,bssh,bssh,success,1,,2025-11-20T00:52:20Z
lamports-dev/yellowstone-faithful-car-parser,lamports-dev,yellowstone-faithful-car-parser,yellowstone-faithful-car-parser,pending,0,,
lancedb/lance,lancedb,lance,lance-tools,success,1,,2025-11-28T04:41:23Z
langston-barrett/souffle-lint,langston-barrett,souffle-lint,souffle-lint,success,1,,2025-11-28T04:39:57Z
lapce/floem,lapce,floem,floem_tiny_skia_renderer,success,1,,2025-11-28T04:39:30Z
lark-exploration/lark,lark-exploration,lark,lark-collections,pending,0,,
larsrh/dotfilesctl,larsrh,dotfilesctl,dotfilesctl,success,1,,2025-11-28T04:38:53Z
lassade/preproc,lassade,preproc,preproc,success,1,,2025-11-28T04:39:26Z
launchbadge/sqlx,launchbadge,sqlx,sqlx,success,1,,2025-11-28T04:38:21Z
lawliet89/aws-auth-payload,lawliet89,aws-auth-payload,aws-auth-payload,success,1,,2025-11-28T04:39:12Z
layer1capital/easy-jsonrpc,layer1capital,easy-jsonrpc,easy-jsonrpc,success,1,,2025-11-30T03:49:29Z
ldclabs/anda,ldclabs,anda,anda_engine_server,success,1,,2025-11-28T04:40:58Z
ldclabs/anda_db,ldclabs,anda_db,anda_kip,pending,0,,
leegeunhyeok/craby,leegeunhyeok,craby,craby_cli,success,1,,2025-11-20T00:49:05Z
leixb/yeelight,leixb,yeelight,yeelight,success,1,,2025-11-20T00:35:16Z
lemunozm/framed-tcp,lemunozm,framed-tcp,framed-tcp,failed,1,"Command '['git', 'clone', 'https://github.com/lemunozm/framed-tcp.git', 'repos/lemunozm/framed-tcp']' timed out after 600 seconds",2025-11-28T04:51:05Z
lencx/nofwl,lencx,nofwl,nofwl,success,1,,2025-11-28T04:38:44Z
leo91000/graphile_worker,leo91000,graphile_worker,graphile_worker_crontab_runner,failed,2,git clone failed: Cloning into 'repos/leo91000/graphile_worker'... | remote: Invalid username or token. Password authentication is not supported for Git operations. | fatal: Authentication failed for 'https://github.com/leo91000/graphile_worker.git/',2025-11-20T01:06:34Z
leptos-rs/leptos,leptos-rs,leptos,either_of,success,1,,2025-11-28T04:40:24Z
leptos-rs/tailwind-rs,leptos-rs,tailwind-rs,tailwind-rs-postcss,pending,0,,
letkemann/polars-rows-iter,letkemann,polars-rows-iter,polars-rows-iter,pending,0,,
lfairy/maud,lfairy,maud,maud_lints,success,1,,2025-11-28T04:39:12Z
lhalf/licenses,lhalf,licenses,licenses,pending,0,,
lhybdv/nvp,lhybdv,nvp,nvp,pending,0,,
liamdawson/lfcl,liamdawson,lfcl,lfcl,pending,0,,
liamwh/raff,liamwh,raff,raff-cli,pending,0,,
libfunc/blowfish,libfunc,blowfish,blowfish_rs,pending,0,,
liblaf/pkg-cli,liblaf,pkg-cli,pkg-cli,failed,1,git clone failed: Cloning into 'repos/liblaf/pkg-cli'... | remote: Repository not found. | fatal: repository 'https://github.com/liblaf/pkg-cli.git/' not found,2025-11-28T04:38:55Z
liborty/rstats,liborty,rstats,rstats,pending,0,,
libp2p/rust-libp2p,libp2p,rust-libp2p,libp2p-mdns,success,1,,2025-11-20T00:33:14Z
librasn/rasn,librasn,rasn,rasn-pkix,success,1,,2025-11-20T00:35:35Z
librespot-org/librespot,librespot-org,librespot,librespot-protocol,success,1,,2025-11-28T04:40:17Z
