crate_id,name,repository,downloads,revdeps,top_category,popularity_band,is_core,stratum,created_at,latest_version_created_at,latest_version_year
60293,derive-serialize-into,https://github.com/afck/derive-serialize-into,10728,1,encoding,mid,0,noncore,2018-04-12 12:54:01.98679+00,2018-04-14 18:46:55.399957+00,2018
667355,workflow-terminal,https://github.com/workflow-rs/workflow-rs,87181,54,command-line-interface,high,0,noncore,2022-09-16 13:27:52.360202+00,2024-09-07 17:00:38.909369+00,2024
87933,secrecy,https://github.com/iqlusioninc/crates/tree/main/secrecy,71199360,5272,cryptography,high,0,noncore,2018-10-04 03:59:35.046194+00,2024-10-09 19:23:36.825181+00,2024
497853,fastmurmur3,https://github.com/kurtbuilds/fastmurmur3,832747,59,cryptography,high,0,noncore,2021-12-14 18:07:47.625512+00,2023-06-19 19:15:58.934676+00,2023
170932,zcash_proofs,https://github.com/zcash/librustzcash,583038,137,cryptography,high,0,noncore,2019-10-08 22:42:20.673976+00,2025-10-20 20:15:29.838397+00,2025
1133947,tari-tiny-keccak,https://github.com/debris/tiny-keccak,120449,2,cryptography,high,0,noncore,2024-02-09 13:21:30.110292+00,2024-02-09 13:21:30.110292+00,2024
1639760,tauri-plugin-persistence,https://github.com/dax-dot-gay/tauri-plugin-persistence,2249,0,filesystem,low,0,noncore,2025-04-18 18:18:02.396886+00,2025-05-17 18:47:47.906408+00,2025
292082,peridot,https://github.com/whonore/peridot,3144,0,filesystem,low,0,noncore,2020-09-23 14:27:33.020785+00,2020-10-02 19:31:18.99233+00,2020
1797255,fat32rs,https://github.com/careyi3/fat32rs,463,0,filesystem,low,0,noncore,2025-08-15 18:02:49.789568+00,2025-08-15 18:02:49.789568+00,2025
1328951,vercre-test-utils,https://github.com/vercre/vercre,1271,3,authentication,low,0,noncore,2024-08-08 01:50:23.034856+00,2024-08-08 01:50:23.034856+00,2024
1847298,xjp-oidc-axum,https://github.com/xiaojinpro/xjp-oidc,732,0,authentication,low,0,noncore,2025-09-20 00:38:08.965442+00,2025-10-19 08:03:46.639713+00,2025
428019,translatepmd,https://github.com/marius851000/pmdtranslate,1563,0,parser-implementations,low,0,noncore,2021-07-27 16:19:53.499421+00,2021-07-27 16:19:53.499421+00,2021
105340,fuzzy-pickles,https://github.com/shepmaster/fuzzy-pickles,3968,0,parser-implementations,low,0,noncore,2019-01-04 00:41:24.400973+00,2020-08-18 01:30:33.429809+00,2020
325716,gen_gcode,https://github.com/codytrey/gen_gcode,2742,0,parser-implementations,low,0,noncore,2020-12-22 03:29:58.362922+00,2020-12-22 03:29:58.362922+00,2020
606373,stackblur-iter,https://github.com/LoganDark/stackblur-iter,32058,4,graphics,mid,0,noncore,2022-06-15 07:39:02.073135+00,2022-08-13 11:30:38.938204+00,2022
1559254,tui-shader,https://github.com/pemattern/tui-shader,5642,0,graphics,mid,0,noncore,2025-02-17 19:03:35.070922+00,2025-03-09 20:19:24.919587+00,2025
138389,warped-sampling,https://github.com/Jasper-Bekkers/warped-sampling,1779,0,rendering,low,0,noncore,2019-06-01 22:05:06.263157+00,2019-06-01 22:05:06.263157+00,2019
1502214,fuck-backslash,https://github.com/lxl66566/fuck-backslash,1161,0,rust-patterns,low,0,noncore,2025-01-03 08:02:15.69745+00,2025-01-03 08:02:15.69745+00,2025
1519439,delegation,https://github.com/arcane-rs/delegation,2591,0,rust-patterns,low,0,noncore,2025-01-16 16:18:09.690489+00,2025-01-24 20:39:06.705967+00,2025
1256863,sigmut,https://github.com/frozenlib/sigmut,2459,0,rust-patterns,low,0,noncore,2024-05-30 13:23:04.854773+00,2024-07-21 08:42:34.682971+00,2024
1331263,r6n,,1278,0,network-programming,low,0,noncore,2024-08-09 19:01:40.726966+00,2024-08-09 19:01:40.726966+00,2024
191761,mars-derive,https://github.com/bitbus/mars-rs,1780,0,network-programming,low,0,noncore,2019-12-23 16:43:59.589135+00,2019-12-23 16:43:59.589135+00,2019
1185444,zenoh-flow-records,https://github.com/eclipse-zenoh/zenoh-flow,3220,2,network-programming,low,0,noncore,2024-03-25 16:20:18.662878+00,2024-03-29 10:52:35.214163+00,2024
1873423,openigtlink-rust,https://github.com/gongfour/openigtlink-rust,1558,0,network-programming,low,0,noncore,2025-10-08 04:04:09.94881+00,2025-10-14 12:09:04.898192+00,2025
1202583,fastcgi-healthcheck,https://github.com/git001/fastcgi-healthcheck,1469,0,network-programming,low,0,noncore,2024-04-09 16:26:33.841962+00,2024-04-09 16:26:33.841962+00,2024
1757049,rta,https://github.com/rustkit/rta,447,0,network-programming,low,0,noncore,2025-07-17 04:00:28.027686+00,2025-07-17 04:00:28.027686+00,2025
1817728,lockserver,https://github.com/benliao/lockserver,655,0,network-programming,low,0,noncore,2025-08-30 15:49:05.353106+00,2025-08-31 10:57:29.690767+00,2025
1067428,iceoryx2_pal_concurrency_primitives,https://github.com/eclipse-iceoryx/iceoryx2,1196,0,network-programming,low,0,noncore,2023-12-13 00:19:31.955208+00,2023-12-13 00:19:31.955208+00,2023
1171722,yo-html,https://github.com/cecton/yo-html,1856,0,web-programming,low,0,noncore,2024-03-13 14:23:41.920994+00,2025-09-11 12:33:22.461173+00,2025
1896570,imgforge,https://github.com/ImgForger/imgforge,422,0,web-programming,low,0,noncore,2025-10-23 03:37:05.543222+00,2025-11-11 04:16:21.916703+00,2025
704548,rusty-css,https://github.com/DavidCks/rusty-css,2827,0,web-programming,low,0,noncore,2022-11-03 18:36:20.508182+00,2023-01-12 07:30:40.666983+00,2023
1282970,hyper-staticfile-jsutf8,https://github.com/whyer11/hyper-staticfile-jsutf8,1523,0,web-programming,low,0,noncore,2024-06-25 04:10:59.092063+00,2024-06-25 04:10:59.092063+00,2024
1451605,jobby,https://github.com/mhlakhani/jobby,1870,0,web-programming,low,0,noncore,2024-11-17 23:34:13.69575+00,2024-12-23 23:44:15.610381+00,2024
1150910,actix-sitemaps-rs,https://github.com/shadawck/actix-sitemap-rs,2706,0,web-programming,low,0,noncore,2024-02-23 19:04:44.229363+00,2024-02-23 19:04:44.229363+00,2024
704959,requests_rs,,11269,12,algorithms,mid,0,noncore,2022-11-04 09:05:58.22015+00,2023-07-13 15:16:08.533931+00,2023
1399832,bpe-openai,https://github.com/github/rust-gems,53862,0,algorithms,mid,0,noncore,2024-10-07 11:04:33.412453+00,2025-05-07 10:48:15.382453+00,2025
645972,grid_pathfinding,https://github.com/tbvanderwoude/grid_pathfinding,7478,0,algorithms,mid,0,noncore,2022-08-15 14:43:15.002766+00,2024-08-07 16:50:18.492765+00,2024
1220841,noise-functions-config,https://github.com/bluurryy/noise-functions,12651,0,algorithms,mid,0,noncore,2024-04-26 00:39:15.702096+00,2025-02-12 01:56:24.880082+00,2025
770073,solstack,https://github.com/solmateus/solstack,6081,0,game-engines,mid,0,noncore,2023-01-28 02:04:11.005751+00,2023-03-28 14:26:36.741273+00,2023
104391,astral-string,https://github.com/astral-engine/astral,11037,3,game-engines,mid,0,noncore,2018-12-29 12:10:56.512019+00,2018-12-31 16:38:20.700383+00,2018
866068,jxl-oxide,https://github.com/tirr-c/jxl-oxide.git,486929,109,multimedia,high,0,noncore,2023-05-16 12:10:14.451318+00,2025-09-30 15:08:31.137256+00,2025
1833330,lindera-python,https://github.com/lindera/lindera-python,1452,0,text-processing,low,0,noncore,2025-09-11 04:35:36.355997+00,2025-10-27 08:15:42.522613+00,2025
