feature,first_appearance_version,first_appearance_date,first_appearance_status,first_unstable_version,first_unstable_date,last_unstable_version,last_unstable_date,stabilized_version,stabilized_date,removed_version,removed_date,latest_status,latest_version,latest_version_date
naked_functions_rustic_abi,1.88.0,2025-06-26,unstable,1.88.0,2025-06-26,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
naked_functions_target_feature,1.87.0,2025-05-15,unstable,1.87.0,2025-05-15,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
native_link_modifiers,1.61.0,2022-05-19,accepted,1.61.0,2022-05-19,,,1.61.0,2022-05-19,,,accepted,1.61.0,2022-05-19
native_link_modifiers_as_needed,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
native_link_modifiers_bundle,1.63.0,2022-08-11,accepted,1.63.0,2022-08-11,,,1.63.0,2022-08-11,,,accepted,1.63.0,2022-08-11
native_link_modifiers_verbatim,1.67.0,2023-01-26,accepted,1.67.0,2023-01-26,,,1.67.0,2023-01-26,,,accepted,1.67.0,2023-01-26
native_link_modifiers_whole_archive,1.61.0,2022-05-19,accepted,1.61.0,2022-05-19,,,1.61.0,2022-05-19,,,accepted,1.61.0,2022-05-19
needs_allocator,1.4.0,2015-10-29,removed,1.4.0,2015-10-29,,,,,1.4.0,2015-10-29,removed,1.4.0,2015-10-29
needs_panic_runtime,1.75.0,2023-12-28,internal,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
negate_unsigned,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
negative_bounds,1.75.0,2023-12-28,incomplete,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,internal,1.91.1,2025-11-10
negative_impls,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
never_patterns,1.76.0,2024-02-08,incomplete,1.76.0,2024-02-08,1.91.1,2025-11-10,,,,,incomplete,1.91.1,2025-11-10
never_type,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
never_type_fallback,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
new_range,1.86.0,2025-04-03,unstable,1.86.0,2025-04-03,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
nll,1.63.0,2022-08-11,accepted,1.63.0,2022-08-11,,,1.63.0,2022-08-11,,,accepted,1.63.0,2022-08-11
no_core,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.91.1,2025-11-10,,,,,unstable,1.91.1,2025-11-10
no_coverage,1.74.0,2023-11-16,removed,1.74.0,2023-11-16,,,,,1.74.0,2023-11-16,removed,1.74.0,2023-11-16
no_debug,1.43.0,2020-04-23,removed,1.43.0,2020-04-23,,,,,1.43.0,2020-04-23,removed,1.43.0,2020-04-23
no_sanitize,1.75.0,2023-12-28,unstable,1.75.0,2023-12-28,1.90.0,2025-09-18,,,1.91.0,2025-10-30,removed,1.91.0,2025-10-30
no_stack_check,1.0.0,2015-05-15,removed,1.0.0,2015-05-15,,,,,1.0.0,2015-05-15,removed,1.0.0,2015-05-15
no_std,1.0.0,2015-05-15,accepted,1.0.0,2015-05-15,,,1.0.0,2015-05-15,,,accepted,1.6.0,2016-01-21
