crate_id,name,repository,downloads,top_category,all_categories,created_year,updated_year,pop_stratum
149652,dtn7,https://github.com/dtn7/dtn7-rs,112061,command-line-utilities,"command-line-utilities,network-programming",2024,2024,high
620029,termoney,https://github.com/JuanCSUCoder/TerMoney,3720,uncategorized,,2022,2022,low
314226,identifier_derive,https://github.com/MathieuTricoire/identifier,6120,uncategorized,,2020,2020,mid
464204,linux-rtic-macros,https://github.com/chemicstry/linux-rtic,3545,concurrency,"concurrency,data-structures",2021,2021,low
1416405,crc8-dvbs2-fast,https://github.com/TobiasBengtsson/crc-fast-rs,3516,uncategorized,,2025,2025,low
1890888,np-cli,https://github.com/jordyfontoura/np,176,command-line-utilities,"command-line-utilities,development-tools",2025,2025,low
440085,rwarden_crypto,https://github.com/nn1ks/rwarden,2217,cryptography,cryptography,2021,2021,low
584142,dos-uid-derive,https://github.com/rconan/dos-actors/uid-derive,33020,science,"science,simulation",2024,2024,high
273966,gluesql_sled_storage,https://github.com/gluesql/gluesql,61980,uncategorized,,2025,2025,high
818896,random-unicode-emoji,https://github.com/NicPWNs/random-unicode-emoji-rs,4742,encoding,"encoding,games,gui,text-processing,web-programming",2025,2025,low
1355426,idalib-sys,https://github.com/binarly-io/idalib,12659,security,security,2025,2025,mid
1011067,FetchDemo,https://github.com/AnttiRae/RustScreenFetchThingy,1645,command-line-utilities,command-line-utilities,2023,2023,low
825769,keshvar,https://github.com/pouriya/keshvar,28532,finance,"finance,internationalization,localization,science::geo",2024,2024,high
915805,navigator-rs,https://github.com/bluerobotics/navigator-rs,16465,embedded,"embedded,hardware-support,science::robotics",2025,2025,mid
1618965,rustc-literal-escaper,https://github.com/rust-lang/literal-escaper,5419045,uncategorized,,2025,2025,high
626992,fetchy,https://github.com/ardaku/fetchy,5178,asynchronous,"asynchronous,hardware-support,os,wasm,web-programming::http-client",2023,2023,mid
1487325,jwt_modes,https://github.com/MohammadSu1/Authentication_app,1977,cryptography,"cryptography,development-tools::cargo-plugins",2025,2025,low
1236556,vexide-startup,https://github.com/vexide/vexide,20655,no-std,"no-std,science::robotics",2025,2025,mid
126024,i2cbus-api,https://github.com/packom/i2cbus-api,15640,api-bindings,"api-bindings,embedded,hardware-support,network-programming,web-programming",2020,2020,mid
554850,nu-glob,https://github.com/nushell/nushell/tree/main/crates/nu-glob,577554,filesystem,filesystem,2025,2025,high
536151,bevy_system_graph,https://github.com/HouraiTeahouse/bevy_system_graph,9268,uncategorized,,2022,2022,mid
1287444,lindera-assets,https://github.com/lindera-morphology/lindera,97868,text-processing,text-processing,2025,2025,high
97214,sodium-rust,https://github.com/SodiumFRP/sodium-rust,13340,uncategorized,,2022,2022,mid
1273426,interva,https://github.com/misaka10987/interva,4674,uncategorized,,2024,2024,low
611843,shogi_official_kifu,https://github.com/rust-shogi-crates/shogi_official_kifu/tree/main/shogi_official_kifu,8428,game-development,"game-development,game-engines,games,no-std",2023,2023,mid
1468204,postgres_secrets,https://github.com/MaxBondABE/postgres_secrets,39426,database,database,2024,2024,high
1799574,x86_vlapic,https://github.com/arceos-hypervisor/x86_vlapic,2265,virtualization,virtualization,2025,2025,low
372380,ctv_emulators,https://github.com/sapio-lang/sapio,4847,uncategorized,,2024,2024,low
892577,atspi-common,https://github.com/odilia-app/atspi,3858160,accessibility,"accessibility,api-bindings",2025,2025,high
149166,spawn-editor,https://github.com/fogti/spawn-editor-rs,8486,uncategorized,,2024,2024,mid
1096051,haltia,https://github.com/HaltiaAI/haltia.rs,2363,api-bindings,"api-bindings,text-processing",2024,2024,low
942117,unocss-classes-macros,https://github.com/brofrain/unocss-classes-rs,7701,uncategorized,,2023,2023,mid
543453,pi_slotmap,https://github.com/GaiaWorld/pi_slotmap.git,34983,caching,"caching,data-structures,memory-management",2025,2025,high
1484167,http-mini,https://github.com/NicolaeIotu/http-mini,2446,web-programming,web-programming::http-server,2024,2024,low
1126391,orion_lib,https://github.com/Solarcode-org/orion-lib,13667,compilers,compilers,2024,2024,mid
1517150,plugrs-host,https://github.com/Lydanne/plugrs,2365,api-bindings,"api-bindings,development-tools",2025,2025,low
443858,ethers-structopt,https://github.com/gakonst/ethers-structopt,1731,uncategorized,,2021,2021,low
866275,async-mailer,https://github.com/LeoniePhiline/async-mailer,23159,email,email,2024,2024,mid
1663341,swon-value,https://github.com/Hihaheho/swon,575,uncategorized,,2025,2025,low
406266,q_compress,https://github.com/mwlon/pcodec,65098,compression,"compression,encoding",2023,2023,high
1386639,sui-crypto,https://github.com/mystenlabs/sui-rust-sdk/,16838,uncategorized,,2025,2025,mid
685747,diatomic-waker,https://github.com/asynchronics/diatomic-waker,3778595,asynchronous,"asynchronous,concurrency",2024,2024,high
1529693,mcp-commune,https://github.com/jgmartin/commune,8600,uncategorized,,2025,2025,mid
